participant_idx,order_condition,theme_position,theme,theme_label,question_type,time,within_theme_order,global_order,time_clipped,within_order_label,is_first,position_group
60,BTP,2,welfare,Welfare Benefits,Baseline,10.652,2,4,10.652,Second,False,Middle (Q2-6)
60,BTP,2,welfare,Welfare Benefits,Error Threshold,79.646,1,3,79.646,First,False,Middle (Q2-6)
60,BTP,3,immi,Immigration,Error Threshold,2.38,1,5,2.38,First,False,Middle (Q2-6)
60,BTP,4,vote,Voting,Baseline,3.21,2,8,3.21,Second,False,Middle (Q2-6)
60,BTP,4,vote,Voting,Error Threshold,33.348,1,7,33.348,First,False,Middle (Q2-6)
60,BTP,5,air,Airport Security,Error Threshold,31.859,1,9,31.859,First,False,Middle (Q2-6)
60,BTP,6,firearm,Firearm Checks,Error Threshold,1.66,1,11,1.66,First,False,Middle (Q2-6)
60,BTP,7,auto,Autonomous Driving,Baseline,1.749,2,14,1.749,Second,False,Last (Q7)
60,BTP,7,auto,Autonomous Driving,Error Threshold,24.398,1,13,24.398,First,False,Last (Q7)
61,PTB,1,disease,Disease Screening,Baseline,4.289,2,2,4.289,Second,True,First (Q1)
61,PTB,1,disease,Disease Screening,Error Threshold,4.032,1,1,4.032,First,True,First (Q1)
61,PTB,2,armed,Armed Conflict,Error Threshold,3.171,1,3,3.171,First,False,Middle (Q2-6)
61,PTB,3,welfare,Welfare Benefits,Error Threshold,4.926,1,5,4.926,First,False,Middle (Q2-6)
61,PTB,4,immi,Immigration,Baseline,4.172,2,8,4.172,Second,False,Middle (Q2-6)
61,PTB,4,immi,Immigration,Error Threshold,4.975,1,7,4.975,First,False,Middle (Q2-6)
61,PTB,5,vote,Voting,Baseline,3.032,2,10,3.032,Second,False,Middle (Q2-6)
61,PTB,5,vote,Voting,Error Threshold,4.045,1,9,4.045,First,False,Middle (Q2-6)
61,PTB,6,firearm,Firearm Checks,Baseline,15.341,2,12,15.341,Second,False,Middle (Q2-6)
61,PTB,6,firearm,Firearm Checks,Error Threshold,16.166,1,11,16.166,First,False,Middle (Q2-6)
61,PTB,7,auto,Autonomous Driving,Error Threshold,6.236,1,13,6.236,First,False,Last (Q7)
62,PTB,1,disease,Disease Screening,Error Threshold,4.278,1,1,4.278,First,True,First (Q1)
62,PTB,2,armed,Armed Conflict,Baseline,2.838,2,4,2.838,Second,False,Middle (Q2-6)
62,PTB,2,armed,Armed Conflict,Error Threshold,2.054,1,3,2.054,First,False,Middle (Q2-6)
62,PTB,3,welfare,Welfare Benefits,Error Threshold,2.165,1,5,2.165,First,False,Middle (Q2-6)
62,PTB,4,immi,Immigration,Error Threshold,3.0,1,7,3.0,First,False,Middle (Q2-6)
62,PTB,5,vote,Voting,Error Threshold,4.921,1,9,4.921,First,False,Middle (Q2-6)
62,PTB,6,air,Airport Security,Error Threshold,2.871,1,11,2.871,First,False,Middle (Q2-6)
62,PTB,7,firearm,Firearm Checks,Baseline,7.429,2,14,7.429,Second,False,Last (Q7)
62,PTB,7,firearm,Firearm Checks,Error Threshold,13.178,1,13,13.178,First,False,Last (Q7)
63,BTP,1,disease,Disease Screening,Baseline,35.687,2,2,35.687,Second,True,First (Q1)
63,BTP,1,disease,Disease Screening,Error Threshold,8.318,1,1,8.318,First,True,First (Q1)
63,BTP,2,armed,Armed Conflict,Baseline,29.394,2,4,29.394,Second,False,Middle (Q2-6)
63,BTP,2,armed,Armed Conflict,Error Threshold,7.24,1,3,7.24,First,False,Middle (Q2-6)
63,BTP,3,conv,Convictions,Baseline,71.291,2,6,71.291,Second,False,Middle (Q2-6)
63,BTP,3,conv,Convictions,Error Threshold,2.646,1,5,2.646,First,False,Middle (Q2-6)
63,BTP,4,welfare,Welfare Benefits,Baseline,525.941,2,8,135.52889999999968,Second,False,Middle (Q2-6)
63,BTP,4,welfare,Welfare Benefits,Error Threshold,4.627,1,7,4.627,First,False,Middle (Q2-6)
63,BTP,5,vote,Voting,Baseline,1.516,2,10,1.516,Second,False,Middle (Q2-6)
63,BTP,5,vote,Voting,Error Threshold,67.339,1,9,67.339,First,False,Middle (Q2-6)
63,BTP,6,air,Airport Security,Error Threshold,5.342,1,11,5.342,First,False,Middle (Q2-6)
63,BTP,7,firearm,Firearm Checks,Error Threshold,37.394,1,13,37.394,First,False,Last (Q7)
64,PBT,1,armed,Armed Conflict,Baseline,14.383,1,1,14.383,First,True,First (Q1)
64,PBT,1,armed,Armed Conflict,Error Threshold,7.181,2,2,7.181,Second,True,First (Q1)
64,PBT,2,conv,Convictions,Error Threshold,4.173,2,4,4.173,Second,False,Middle (Q2-6)
64,PBT,3,welfare,Welfare Benefits,Baseline,10.8,1,5,10.8,First,False,Middle (Q2-6)
64,PBT,3,welfare,Welfare Benefits,Error Threshold,3.987,2,6,3.987,Second,False,Middle (Q2-6)
64,PBT,4,immi,Immigration,Error Threshold,9.281,2,8,9.281,Second,False,Middle (Q2-6)
64,PBT,5,air,Airport Security,Error Threshold,25.404,2,10,25.404,Second,False,Middle (Q2-6)
64,PBT,6,firearm,Firearm Checks,Baseline,8.336,1,11,8.336,First,False,Middle (Q2-6)
64,PBT,6,firearm,Firearm Checks,Error Threshold,3.002,2,12,3.002,Second,False,Middle (Q2-6)
64,PBT,7,auto,Autonomous Driving,Error Threshold,2.378,2,14,2.378,Second,False,Last (Q7)
65,TBP,1,disease,Disease Screening,Baseline,8.232,2,2,8.232,Second,True,First (Q1)
65,TBP,1,disease,Disease Screening,Error Threshold,2.409,1,1,2.409,First,True,First (Q1)
65,TBP,2,armed,Armed Conflict,Baseline,10.06,2,4,10.06,Second,False,Middle (Q2-6)
65,TBP,2,armed,Armed Conflict,Error Threshold,22.163,1,3,22.163,First,False,Middle (Q2-6)
65,TBP,3,conv,Convictions,Error Threshold,11.477,1,5,11.477,First,False,Middle (Q2-6)
65,TBP,4,welfare,Welfare Benefits,Error Threshold,6.045,1,7,6.045,First,False,Middle (Q2-6)
65,TBP,5,immi,Immigration,Baseline,12.175,2,10,12.175,Second,False,Middle (Q2-6)
65,TBP,5,immi,Immigration,Error Threshold,5.335,1,9,5.335,First,False,Middle (Q2-6)
65,TBP,6,air,Airport Security,Baseline,31.972,2,12,31.972,Second,False,Middle (Q2-6)
65,TBP,6,air,Airport Security,Error Threshold,14.478,1,11,14.478,First,False,Middle (Q2-6)
65,TBP,7,firearm,Firearm Checks,Baseline,8.331,2,14,8.331,Second,False,Last (Q7)
65,TBP,7,firearm,Firearm Checks,Error Threshold,8.964,1,13,8.964,First,False,Last (Q7)
66,PTB,1,disease,Disease Screening,Baseline,22.435,2,2,22.435,Second,True,First (Q1)
66,PTB,1,disease,Disease Screening,Error Threshold,18.443,1,1,18.443,First,True,First (Q1)
66,PTB,2,armed,Armed Conflict,Error Threshold,71.789,1,3,71.789,First,False,Middle (Q2-6)
66,PTB,3,conv,Convictions,Baseline,13.649,2,6,13.649,Second,False,Middle (Q2-6)
66,PTB,3,conv,Convictions,Error Threshold,3.14,1,5,3.14,First,False,Middle (Q2-6)
66,PTB,4,vote,Voting,Baseline,9.389,2,8,9.389,Second,False,Middle (Q2-6)
66,PTB,4,vote,Voting,Error Threshold,6.475,1,7,6.475,First,False,Middle (Q2-6)
66,PTB,5,firearm,Firearm Checks,Error Threshold,14.209,1,9,14.209,First,False,Middle (Q2-6)
